NAMESPACE            NAME                                               READY   STATUS                   RESTARTS        AGE
sage                 pod/arc-registry-refresh-29335911-5m627            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335911-n5pzj            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335912-2t5nj            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335912-7bcts            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335912-8g78x            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335913-dnwbt            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335913-nqgtp            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335913-rbxl5            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335914-4b7x4            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335914-jtccm            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335914-k88jf            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335915-9cdvt            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335915-d4hv7            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335915-f9jhn            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335916-d4dzd            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335916-sd2pj            0/1     Pending                  0               58m
sage                 pod/arc-registry-refresh-29335917-2br7c            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335917-6x7wt            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335917-l6snw            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335918-6b9rl            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335918-96t9d            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335918-9w7t8            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335919-dlfhw            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335919-tvbn9            0/1     Pending                  0               58m
sage                 pod/arc-registry-refresh-29335920-5hx6s            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335920-rvqfw            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335920-x9flc            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335921-ctvht            0/1     Pending                  0               58m
sage                 pod/arc-registry-refresh-29335921-jls82            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335922-5rl44            0/1     Error                    0               57m
sage                 pod/arc-registry-refresh-29335922-5wd24            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335922-jzhkg            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335923-bxsk2            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335923-r26rb            0/1     ContainerCreating        0               43m
sage                 pod/arc-registry-refresh-29335923-s5xx2            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335924-dz97b            0/1     Pending                  0               58m
sage                 pod/arc-registry-refresh-29335924-ghnc5            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335925-tlfcp            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335925-tm9sf            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335925-vpb6h            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335926-6hsqp            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335926-cdnlq            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335926-pzmsx            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335927-8fd5x            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335927-9gvhz            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335927-pnm47            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335928-2wq69            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335928-nl9zf            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335928-v7rxn            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335929-bzfps            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335929-jvlkn            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335929-vhspv            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335930-bbrg8            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335930-m4sgf            0/1     ContainerCreating        0               43m
sage                 pod/arc-registry-refresh-29335930-mls5l            0/1     Error                    0               75m
sage                 pod/arc-registry-refresh-29335931-r2f84            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335931-spfz6            1/1     Running                  0               44m
sage                 pod/arc-registry-refresh-29335931-wjr4j            0/1     Error                    0               75m
sage                 pod/arc-registry-refresh-29335932-9hltc            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335932-ql5w5            0/1     Error                    0               75m
sage                 pod/arc-registry-refresh-29335932-xtxzw            0/1     ContainerCreating        0               44m
