NAME                                   READY   STATUS                       RESTARTS   AGE     IP             NODE     NOMINATED NODE   READINESS GATES
pod/theta-dns-health-29363085-kjmfk    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363090-mh9tp    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363095-s88fc    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363100-8jw8b    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363105-4lkq5    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363110-5qpm2    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363115-s54mn    0/1     CreateContainerConfigError   0          4h21m   10.244.0.111   sage     <none>           <none>
pod/theta-dns-health-29363120-twvtr    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363125-6xg7n    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363130-ks5hv    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363135-dr4jw    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363140-629wn    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363145-zdlr9    0/1     Pending                      0          4h17m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363150-sptvc    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363155-7pgb4    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363160-qmbqd    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363165-gfkql    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363170-rnj6b    0/1     Pending                      0          5m      <none>         <none>   <none>           <none>
pod/theta-dns-health-29363175-z45r2    0/1     Pending                      0          4h17m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363180-jj5hl    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363185-z8cqf    0/1     ContainerCreating            0          4h21m   <none>         sage     <none>           <none>
pod/theta-dns-health-29363190-gl7nv    0/1     CreateContainerConfigError   0          4h21m   10.244.0.82    sage     <none>           <none>
pod/theta-dns-health-29363195-hpnfd    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363200-8s5d9    0/1     Pending                      0          4m55s   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363205-qfllz    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363210-wqnrl    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363215-9gcxf    0/1     Pending                      0          4h21m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363220-bsg5d    0/1     ContainerCreating            0          4h21m   <none>         sage     <none>           <none>
pod/theta-dns-health-29363225-bgbcj    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363230-942sc    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363235-mgnrn    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363240-dtsbp    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363245-xt48s    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363250-dsvvp    0/1     Pending                      0          4m44s   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363255-ftgwz    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363260-2qn5m    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363265-j5hx2    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363270-jtnrl    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363275-jdk7l    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
